노선번호,노선순번,정류장명,LAT,LNG
977,38,원석구마을,35.76294167,127.125575
977,19,서학동예술마을,35.8080187,127.1495396
977,21,서학동예술마을,35.8080187,127.1495396
977,44,서학동예술마을,35.8078031,127.1498173
977,45,서학동예술마을,35.8078031,127.1498173
977,50,동성마을,35.6968855,127.1213679
977,52,동성마을,35.6968855,127.1213679
977,12,동성마을,35.6969174,127.1214894
977,13,동성마을,35.6969174,127.1214894
977,43,모악호수마을,35.7277121,127.1198941
977,45,모악호수마을,35.7277121,127.1198941
977,19,모악호수마을,35.7280011,127.1200254
977,20,모악호수마을,35.7280011,127.1200254
977,22,왕벚꽃마을,35.7373625,127.1208159
977,23,왕벚꽃마을,35.7373625,127.1208159
977,40,왕벚꽃마을,35.7373169,127.1206723
977,42,왕벚꽃마을,35.7373169,127.1206723
977,2,메가월드,35.8698105,127.112454
976,4,매산교,35.6816419,127.1029292
976,24,동적골,35.75301525,127.1250815
976,40,동적골,35.75288396,127.1247919
976,40,동적골,35.75288396,127.1247919
976,23,두방마을,35.74632438,127.1208747
976,41,두방마을,35.74621646,127.1206728
976,41,두방마을,35.74621646,127.1206728
976,22,두현마을,35.74310579,127.1217133
976,42,두현마을,35.74296698,127.1215297
976,42,두현마을,35.74296698,127.1215297
976,44,구이중,35.73424408,127.120204
976,44,구이중,35.73424408,127.120204
976,20,구이중,35.7342099,127.1204496
976,19,구이면사무소,35.73183549,127.120063
976,45,구이면사무소,35.73152551,127.1198208
976,45,구이면사무소,35.73152551,127.1198208
976,47,구이중앙교회,35.72446397,127.1199714
976,47,구이중앙교회,35.72446397,127.1199714
976,17,구이중앙교회,35.72401766,127.1202636
976,16,구이초교,35.722048,127.1204304
976,48,구이초교,35.72118644,127.1203073
976,48,구이초교,35.72118644,127.1203073
976,49,수성사입구,35.71555088,127.1184003
976,49,수성사입구,35.71555088,127.1184003
976,15,수성사입구,35.71552433,127.1186028
976,64,탑선마을,35.70990504,127.0858442
976,14,망산마을입구,35.70895595,127.1200532
976,50,망산마을입구,35.70889263,127.1198873
976,50,망산마을입구,35.70889263,127.1198873
976,51,마음마을,35.70649648,127.1200522
976,51,마음마을,35.70649648,127.1200522
976,13,마음마을,35.70631315,127.1202325
976,63,미치마을,35.70150085,127.0910411
976,12,성덕교,35.6997744,127.1205418
976,52,성덕교,35.6997695,127.1203982
976,52,성덕교,35.6997695,127.1203982
976,62,장파마을,35.69146124,127.0983036
976,1,원안덕마을,35.68338769,127.0797609
976,63,원안덕마을,35.68356853,127.0798361
976,66,원안덕마을,35.68356853,127.0798361
976,54,교동마을,35.68509328,127.1152458
976,54,교동마을,35.68509328,127.1152458
976,10,교동마을,35.68500367,127.115395
976,61,매산마을,35.68232083,127.1021928
976,61,매산마을,35.68232083,127.1021928
976,3,매산마을,35.68239766,127.1016175
976,9,구이신기마을,35.67555652,127.112781
976,55,구이신기마을,35.67531501,127.1124192
976,55,구이신기마을,35.67531501,127.1124192
976,5,재실마을,35.67263261,127.1045827
976,59,재실마을,35.67258903,127.104782
976,59,재실마을,35.67258903,127.104782
976,8,염암마을,35.66868209,127.113555
976,56,염암마을,35.6686512,127.1133675
976,56,염암마을,35.6686512,127.1133675
976,7,대덕마을,35.66092685,127.1124194
976,57,대덕마을,35.66124196,127.1122536
976,57,대덕마을,35.66124196,127.1122536
976,60,매산교,35.68157227,127.1032614
976,60,매산교,35.68157227,127.1032614
976,58,대덕경로당,35.6615761,127.10929
976,58,대덕경로당,35.6615761,127.10929
976,6,대덕경로당,35.66154768,127.1091025
976,3,동부대로 농수산시장,35.8696339,127.1175725
976,3,동부대로 농수산시장,35.8696339,127.1175725
976,59,송천동성원무지개아파트,35.86543274,127.1218195
976,5,송천동성원무지개아파트,35.86493158,127.1213847
976,5,송천동성원무지개아파트,35.86493158,127.1213847
976,58,전라고,35.86055764,127.1215621
976,6,전라고,35.86035841,127.1210833
976,6,전라고,35.86035841,127.1210833
976,57,송천1동주민센터,35.85701397,127.1207733
976,7,송천삼거리 롯데마트,35.85538448,127.1198242
976,7,송천삼거리 롯데마트,35.85538448,127.1198242
976,56,도립여성중고 롯데마트,35.85361352,127.1197937
976,8,송천 센트럴파크,35.85332881,127.1193766
976,8,송천 센트럴파크,35.85332881,127.1193766
976,55,도립국악원,35.84934543,127.1196889
976,9,도립국악원,35.84907486,127.1189103
976,9,도립국악원,35.84907486,127.1189103
976,10,기린대로덕진공원,35.84624591,127.1196944
976,10,기린대로덕진공원,35.84624591,127.1196944
976,54,기린대로덕진공원,35.84574561,127.1213678
976,11,전북대학교.한나여성병원앞,35.8428057,127.1247332
976,11,전북대학교.한나여성병원앞,35.8428057,127.1247332
976,53,전북대학교.소나무한의원앞,35.84140298,127.1270607
976,52,전북일보사,35.8384609,127.1311667
976,12,국민은행금암지점,35.8379584,127.1314117
976,12,국민은행금암지점,35.8379584,127.1314117
976,51,금암1동주민센터,35.83678745,127.133639
976,15,금암광장.청담한방병원,35.83369489,127.1364274
976,15,금암광장.청담한방병원,35.83369489,127.1364274
